Date,ANR,Target Price,ANR Classification,ANR Change
2023-09-09,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-10,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-11,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-12,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-13,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-14,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-15,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-16,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-17,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-18,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-19,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-20,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-21,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-22,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-23,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-24,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-25,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-26,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-27,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-28,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-29,1.4285714285714286,70.0434799194336,Buy,0.0
2023-09-30,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-01,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-02,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-03,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-04,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-05,1.4285714285714286,70.0434799194336,Buy,0.0
2023-10-06,1.4285714285714284,69.33333587646484,Buy,-2.220446049250313e-16
2023-10-07,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-08,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-09,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-10,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-11,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-12,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-13,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-14,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-15,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-16,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-17,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-18,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-19,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-20,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-21,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-22,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-23,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-24,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-25,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-26,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-27,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-28,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-29,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-30,1.4285714285714284,69.33333587646484,Buy,0.0
2023-10-31,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-01,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-02,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-03,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-04,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-05,1.4285714285714284,69.33333587646484,Buy,0.0
2023-11-06,1.3571428571428572,64.42308044433594,Buy,-0.07142857142857117
2023-11-07,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-08,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-09,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-10,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-11,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-12,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-13,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-14,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-15,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-16,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-17,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-18,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-19,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-20,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-21,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-22,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-23,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-24,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-25,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-26,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-27,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-28,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-29,1.3571428571428572,64.42308044433594,Buy,0.0
2023-11-30,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-01,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-02,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-03,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-04,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-05,1.3571428571428572,64.42308044433594,Buy,0.0
2023-12-06,1.4137931034482758,64.48148345947266,Buy,0.056650246305418595
2023-12-07,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-08,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-09,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-10,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-11,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-12,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-13,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-14,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-15,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-16,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-17,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-18,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-19,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-20,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-21,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-22,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-23,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-24,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-25,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-26,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-27,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-28,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-29,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-30,1.4137931034482758,64.48148345947266,Buy,0.0
2023-12-31,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-01,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-02,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-03,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-04,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-05,1.4137931034482758,64.48148345947266,Buy,0.0
2024-01-06,1.4827586206896552,65.0,Buy,0.06896551724137945
2024-01-07,1.4827586206896552,65.0,Buy,0.0
2024-01-08,1.4827586206896552,65.0,Buy,0.0
2024-01-09,1.4827586206896552,65.0,Buy,0.0
2024-01-10,1.4827586206896552,65.0,Buy,0.0
2024-01-11,1.4827586206896552,65.0,Buy,0.0
2024-01-12,1.4827586206896552,65.0,Buy,0.0
2024-01-13,1.4827586206896552,65.0,Buy,0.0
2024-01-14,1.4827586206896552,65.0,Buy,0.0
2024-01-15,1.4827586206896552,65.0,Buy,0.0
2024-01-16,1.4827586206896552,65.0,Buy,0.0
2024-01-17,1.4827586206896552,65.0,Buy,0.0
2024-01-18,1.4827586206896552,65.0,Buy,0.0
2024-01-19,1.4827586206896552,65.0,Buy,0.0
2024-01-20,1.4827586206896552,65.0,Buy,0.0
2024-01-21,1.4827586206896552,65.0,Buy,0.0
2024-01-22,1.4827586206896552,65.0,Buy,0.0
2024-01-23,1.4827586206896552,65.0,Buy,0.0
2024-01-24,1.4827586206896552,65.0,Buy,0.0
2024-01-25,1.4827586206896552,65.0,Buy,0.0
2024-01-26,1.4827586206896552,65.0,Buy,0.0
2024-01-27,1.4827586206896552,65.0,Buy,0.0
2024-01-28,1.4827586206896552,65.0,Buy,0.0
2024-01-29,1.4827586206896552,65.0,Buy,0.0
2024-01-30,1.4827586206896552,65.0,Buy,0.0
2024-01-31,1.4827586206896552,65.0,Buy,0.0
2024-02-01,1.4827586206896552,65.0,Buy,0.0
2024-02-02,1.4827586206896552,65.0,Buy,0.0
2024-02-03,1.4827586206896552,65.0,Buy,0.0
2024-02-04,1.4827586206896552,65.0,Buy,0.0
2024-02-05,1.4827586206896552,65.0,Buy,0.0
2024-02-06,1.4827586206896552,65.5625,Buy,0.0
2024-02-07,1.4827586206896552,65.5625,Buy,0.0
2024-02-08,1.4827586206896552,65.5625,Buy,0.0
2024-02-09,1.4827586206896552,65.5625,Buy,0.0
2024-02-10,1.4827586206896552,65.5625,Buy,0.0
2024-02-11,1.4827586206896552,65.5625,Buy,0.0
2024-02-12,1.4827586206896552,65.5625,Buy,0.0
2024-02-13,1.4827586206896552,65.5625,Buy,0.0
2024-02-14,1.4827586206896552,65.5625,Buy,0.0
2024-02-15,1.4827586206896552,65.5625,Buy,0.0
2024-02-16,1.4827586206896552,65.5625,Buy,0.0
2024-02-17,1.4827586206896552,65.5625,Buy,0.0
2024-02-18,1.4827586206896552,65.5625,Buy,0.0
2024-02-19,1.4827586206896552,65.5625,Buy,0.0
2024-02-20,1.4827586206896552,65.5625,Buy,0.0
2024-02-21,1.4827586206896552,65.5625,Buy,0.0
2024-02-22,1.4827586206896552,65.5625,Buy,0.0
2024-02-23,1.4827586206896552,65.5625,Buy,0.0
2024-02-24,1.4827586206896552,65.5625,Buy,0.0
2024-02-25,1.4827586206896552,65.5625,Buy,0.0
2024-02-26,1.4827586206896552,65.5625,Buy,0.0
2024-02-27,1.4827586206896552,65.5625,Buy,0.0
2024-02-28,1.4827586206896552,65.5625,Buy,0.0
2024-02-29,1.4827586206896552,65.5625,Buy,0.0
2024-03-01,1.4827586206896552,65.5625,Buy,0.0
2024-03-02,1.4827586206896552,65.5625,Buy,0.0
2024-03-03,1.4827586206896552,65.5625,Buy,0.0
2024-03-04,1.4827586206896552,65.5625,Buy,0.0
2024-03-05,1.4827586206896552,65.5625,Buy,0.0
2024-03-06,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-07,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-08,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-09,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-10,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-11,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-12,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-13,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-14,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-15,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-16,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-17,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-18,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-19,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-20,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-21,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-22,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-23,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-24,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-25,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-26,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-27,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-28,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-29,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-30,1.4827586206896552,66.34782409667969,Buy,0.0
2024-03-31,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-01,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-02,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-03,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-04,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-05,1.4827586206896552,66.34782409667969,Buy,0.0
2024-04-06,1.5,66.16000366210938,Buy,0.01724137931034475
2024-04-07,1.5,66.16000366210938,Buy,0.0
2024-04-08,1.5,66.16000366210938,Buy,0.0
2024-04-09,1.5,66.16000366210938,Buy,0.0
2024-04-10,1.5,66.16000366210938,Buy,0.0
2024-04-11,1.5,66.16000366210938,Buy,0.0
2024-04-12,1.5,66.16000366210938,Buy,0.0
2024-04-13,1.5,66.16000366210938,Buy,0.0
2024-04-14,1.5,66.16000366210938,Buy,0.0
2024-04-15,1.5,66.16000366210938,Buy,0.0
2024-04-16,1.5,66.16000366210938,Buy,0.0
2024-04-17,1.5,66.16000366210938,Buy,0.0
2024-04-18,1.5,66.16000366210938,Buy,0.0
2024-04-19,1.5,66.16000366210938,Buy,0.0
2024-04-20,1.5,66.16000366210938,Buy,0.0
2024-04-21,1.5,66.16000366210938,Buy,0.0
2024-04-22,1.5,66.16000366210938,Buy,0.0
2024-04-23,1.5,66.16000366210938,Buy,0.0
2024-04-24,1.5,66.16000366210938,Buy,0.0
2024-04-25,1.5,66.16000366210938,Buy,0.0
2024-04-26,1.5,66.16000366210938,Buy,0.0
2024-04-27,1.5,66.16000366210938,Buy,0.0
2024-04-28,1.5,66.16000366210938,Buy,0.0
2024-04-29,1.5,66.16000366210938,Buy,0.0
2024-04-30,1.5,66.16000366210938,Buy,0.0
2024-05-01,1.5,66.16000366210938,Buy,0.0
2024-05-02,1.5,66.16000366210938,Buy,0.0
2024-05-03,1.5,66.16000366210938,Buy,0.0
2024-05-04,1.5,66.16000366210938,Buy,0.0
2024-05-05,1.5,66.16000366210938,Buy,0.0
2024-05-06,1.5,67.27777862548828,Buy,0.0
2024-05-07,1.5,67.27777862548828,Buy,0.0
2024-05-08,1.5,67.27777862548828,Buy,0.0
2024-05-09,1.5,67.27777862548828,Buy,0.0
2024-05-10,1.5,67.27777862548828,Buy,0.0
2024-05-11,1.5,67.27777862548828,Buy,0.0
2024-05-12,1.5,67.27777862548828,Buy,0.0
2024-05-13,1.5,67.27777862548828,Buy,0.0
2024-05-14,1.5,67.27777862548828,Buy,0.0
2024-05-15,1.5,67.27777862548828,Buy,0.0
2024-05-16,1.5,67.27777862548828,Buy,0.0
2024-05-17,1.5,67.27777862548828,Buy,0.0
2024-05-18,1.5,67.27777862548828,Buy,0.0
2024-05-19,1.5,67.27777862548828,Buy,0.0
2024-05-20,1.5,67.27777862548828,Buy,0.0
2024-05-21,1.5,67.27777862548828,Buy,0.0
2024-05-22,1.5,67.27777862548828,Buy,0.0
2024-05-23,1.5,67.27777862548828,Buy,0.0
2024-05-24,1.5,67.27777862548828,Buy,0.0
2024-05-25,1.5,67.27777862548828,Buy,0.0
2024-05-26,1.5,67.27777862548828,Buy,0.0
2024-05-27,1.5,67.27777862548828,Buy,0.0
2024-05-28,1.5,67.27777862548828,Buy,0.0
2024-05-29,1.5,67.27777862548828,Buy,0.0
2024-05-30,1.5,67.27777862548828,Buy,0.0
2024-05-31,1.5,67.27777862548828,Buy,0.0
2024-06-01,1.5,67.27777862548828,Buy,0.0
2024-06-02,1.5,67.27777862548828,Buy,0.0
2024-06-03,1.5,67.27777862548828,Buy,0.0
2024-06-04,1.5,67.27777862548828,Buy,0.0
2024-06-05,1.5,67.27777862548828,Buy,0.0
2024-06-06,1.4827586206896552,67.38888549804688,Buy,-0.01724137931034475
2024-06-07,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-08,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-09,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-10,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-11,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-12,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-13,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-14,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-15,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-16,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-17,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-18,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-19,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-20,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-21,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-22,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-23,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-24,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-25,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-26,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-27,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-28,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-29,1.4827586206896552,67.38888549804688,Buy,0.0
2024-06-30,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-01,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-02,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-03,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-04,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-05,1.4827586206896552,67.38888549804688,Buy,0.0
2024-07-06,1.4666666666666668,68.01851654052734,Buy,-0.016091954022988464
2024-07-07,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-08,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-09,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-10,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-11,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-12,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-13,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-14,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-15,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-16,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-17,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-18,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-19,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-20,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-21,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-22,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-23,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-24,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-25,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-26,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-27,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-28,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-29,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-30,1.4666666666666668,68.01851654052734,Buy,0.0
2024-07-31,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-01,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-02,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-03,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-04,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-05,1.4666666666666668,68.01851654052734,Buy,0.0
2024-08-06,1.5517241379310347,69.85185241699219,Buy,0.08505747126436791
2024-08-07,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-08,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-09,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-10,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-11,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-12,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-13,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-14,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-15,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-16,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-17,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-18,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-19,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-20,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-21,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-22,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-23,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-24,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-25,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-26,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-27,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-28,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-29,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-30,1.5517241379310347,69.85185241699219,Buy,0.0
2024-08-31,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-01,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-02,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-03,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-04,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-05,1.5517241379310347,69.85185241699219,Buy,0.0
2024-09-06,1.6206896551724137,70.59259033203125,Buy,0.068965517241379
2024-09-07,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-08,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-09,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-10,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-11,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-12,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-13,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-14,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-15,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-16,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-17,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-18,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-19,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-20,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-21,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-22,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-23,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-24,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-25,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-26,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-27,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-28,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-29,1.6206896551724137,70.59259033203125,Buy,0.0
2024-09-30,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-01,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-02,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-03,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-04,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-05,1.6206896551724137,70.59259033203125,Buy,0.0
2024-10-06,1.642857142857143,72.76923370361328,Buy,0.022167487684729315
2024-10-07,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-08,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-09,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-10,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-11,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-12,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-13,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-14,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-15,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-16,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-17,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-18,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-19,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-20,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-21,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-22,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-23,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-24,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-25,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-26,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-27,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-28,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-29,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-30,1.642857142857143,72.76923370361328,Buy,0.0
2024-10-31,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-01,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-02,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-03,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-04,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-05,1.642857142857143,72.76923370361328,Buy,0.0
2024-11-06,1.5714285714285714,74.31999969482422,Buy,-0.07142857142857162
2024-11-07,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-08,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-09,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-10,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-11,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-12,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-13,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-14,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-15,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-16,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-17,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-18,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-19,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-20,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-21,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-22,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-23,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-24,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-25,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-26,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-27,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-28,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-29,1.5714285714285714,74.31999969482422,Buy,0.0
2024-11-30,1.5714285714285714,74.31999969482422,Buy,0.0
2024-12-01,1.5714285714285714,74.31999969482422,Buy,0.0
2024-12-02,1.5714285714285714,74.31999969482422,Buy,0.0
